Age,BusinessTravel,department,DistanceFromHome,Education,EducationField,Gender,job_role,JobSatisfaction,MaritalStatus,monthly_income,NumCompaniesWorked,overtime,PercentSalaryHike,PerformanceRating,YearsInCurrentRole,YearsSinceLastPromotion,industry_proxy,layoff_target
36,Travel_Rarely,Sales,9,4,Life Sciences,Male,Sales Representative,1,Single,3407,7,No,23,4,3,0,Retail and Consumer,1
34,Travel_Rarely,Research & Development,7,4,Life Sciences,Female,Research Director,2,Single,11994,0,No,11,3,6,2,Technology and Services,0
21,Travel_Rarely,Research & Development,15,2,Life Sciences,Male,Research Scientist,4,Single,1359,1,No,14,3,0,0,Technology and Services,0
34,Travel_Rarely,Research & Development,6,1,Medical,Male,Research Scientist,1,Single,2960,2,No,11,3,2,1,Technology and Services,0
53,Travel_Rarely,Research & Development,5,3,Other,Female,Manager,3,Divorced,19094,4,No,11,3,13,4,Technology and Services,0
32,Travel_Frequently,Research & Development,16,1,Life Sciences,Female,Research Scientist,1,Single,3919,1,Yes,22,4,2,6,Technology and Services,0
42,Travel_Rarely,Sales,8,4,Marketing,Male,Sales Executive,2,Married,6825,0,No,11,3,7,4,Retail and Consumer,0
44,Travel_Rarely,Research & Development,7,4,Medical,Female,Healthcare Representative,4,Married,10248,3,No,14,3,6,5,Technology and Services,0
46,Travel_Rarely,Sales,2,4,Marketing,Female,Manager,1,Single,18947,3,No,12,3,2,2,Retail and Consumer,0
33,Travel_Rarely,Research & Development,2,3,Medical,Male,Laboratory Technician,4,Single,2496,4,No,11,3,1,0,Technology and Services,0
44,Travel_Rarely,Research & Development,10,4,Other,Male,Healthcare Representative,4,Married,6465,2,Yes,13,3,2,1,Technology and Services,0
30,Travel_Rarely,Research & Development,9,2,Medical,Male,Laboratory Technician,3,Single,2206,1,No,13,3,0,1,Technology and Services,0
39,Travel_Rarely,Sales,5,3,Technical Degree,Male,Sales Representative,4,Married,2086,3,No,14,3,0,0,Retail and Consumer,1
24,Travel_Rarely,Research & Development,1,3,Medical,Male,Research Scientist,4,Married,2293,2,Yes,16,3,0,2,Technology and Services,0
43,Travel_Rarely,Research & Development,2,2,Medical,Female,Research Scientist,3,Divorced,2645,1,No,12,3,3,1,Technology and Services,0
50,Travel_Rarely,Sales,3,2,Marketing,Male,Sales Representative,3,Married,2683,1,Yes,14,3,2,0,Retail and Consumer,1
35,Travel_Rarely,Sales,2,3,Marketing,Female,Sales Representative,4,Married,2014,1,No,13,3,2,2,Retail and Consumer,0
36,Travel_Rarely,Research & Development,5,4,Life Sciences,Female,Research Scientist,1,Married,3419,9,Yes,14,3,1,0,Technology and Services,0
33,Travel_Frequently,Sales,1,3,Life Sciences,Female,Sales Executive,1,Married,5376,2,No,19,3,3,1,Retail and Consumer,0
35,Travel_Rarely,Research & Development,4,2,Other,Male,Laboratory Technician,4,Divorced,1951,1,No,12,3,0,0,Technology and Services,0
27,Travel_Rarely,Research & Development,2,4,Life Sciences,Female,Laboratory Technician,1,Divorced,2341,1,No,13,3,0,0,Technology and Services,0
26,Travel_Rarely,Research & Development,25,3,Life Sciences,Male,Laboratory Technician,3,Single,2293,1,No,12,3,0,0,Technology and Services,0
27,Travel_Frequently,Sales,8,3,Life Sciences,Male,Sales Executive,3,Single,8726,1,No,15,3,8,1,Retail and Consumer,0
30,Travel_Frequently,Research & Development,1,2,Medical,Female,Laboratory Technician,4,Single,4011,1,No,23,4,8,3,Technology and Services,0
41,Travel_Rarely,Research & Development,12,3,Technical Degree,Female,Research Director,3,Married,19545,1,No,12,3,15,15,Technology and Services,0
34,Non-Travel,Sales,23,4,Marketing,Male,Sales Executive,3,Single,4568,0,No,20,4,5,8,Retail and Consumer,0
37,Travel_Rarely,Research & Development,19,2,Life Sciences,Male,Research Scientist,2,Married,3022,4,No,21,4,0,0,Technology and Services,0
46,Travel_Frequently,Sales,5,4,Marketing,Male,Sales Executive,4,Single,5772,4,Yes,21,4,6,0,Retail and Consumer,0
35,Travel_Rarely,Research & Development,8,1,Life Sciences,Male,Laboratory Technician,4,Married,2269,1,No,19,3,0,0,Technology and Services,0
48,Travel_Rarely,Research & Development,1,2,Life Sciences,Male,Laboratory Technician,3,Single,5381,9,Yes,13,3,0,0,Technology and Services,0
28,Travel_Rarely,Research & Development,5,4,Technical Degree,Male,Laboratory Technician,3,Single,3441,1,Yes,13,3,2,2,Technology and Services,0
44,Travel_Rarely,Sales,1,5,Marketing,Female,Sales Executive,1,Divorced,5454,5,Yes,21,4,3,1,Retail and Consumer,0
35,Non-Travel,Research & Development,11,2,Medical,Male,Healthcare Representative,1,Married,9884,2,Yes,13,3,0,2,Technology and Services,0
26,Travel_Rarely,Sales,23,3,Marketing,Female,Sales Executive,4,Married,4157,7,Yes,19,3,2,0,Retail and Consumer,0
33,Travel_Frequently,Research & Development,1,2,Life Sciences,Female,Research Director,4,Single,13458,1,Yes,12,3,14,8,Technology and Services,0
35,Travel_Frequently,Sales,18,5,Life Sciences,Male,Sales Executive,1,Married,9069,1,No,22,4,8,1,Retail and Consumer,0
35,Travel_Rarely,Research & Development,23,4,Medical,Female,Laboratory Technician,1,Married,4014,3,Yes,15,3,2,2,Technology and Services,0
31,Travel_Rarely,Research & Development,7,4,Life Sciences,Male,Laboratory Technician,4,Divorced,5915,3,No,22,4,7,1,Technology and Services,0
37,Travel_Rarely,Research & Development,1,4,Life Sciences,Male,Manufacturing Director,3,Divorced,5993,1,No,18,3,5,0,Technology and Services,0
32,Travel_Rarely,Research & Development,1,3,Medical,Male,Manufacturing Director,4,Married,6162,1,Yes,22,4,8,7,Technology and Services,0
38,Travel_Frequently,Research & Development,29,5,Life Sciences,Female,Laboratory Technician,4,Single,2406,1,No,11,3,3,9,Technology and Services,0
50,Travel_Rarely,Research & Development,7,2,Medical,Female,Research Director,3,Divorced,18740,5,Yes,12,3,3,13,Technology and Services,0
59,Travel_Rarely,Sales,25,3,Life Sciences,Female,Sales Executive,1,Single,7637,7,No,11,3,16,7,Retail and Consumer,0
36,Travel_Rarely,Research & Development,8,3,Technical Degree,Female,Healthcare Representative,3,Divorced,10096,1,No,13,3,14,12,Technology and Services,0
55,Travel_Rarely,Research & Development,8,3,Medical,Female,Manager,3,Divorced,14756,2,Yes,14,3,0,0,Technology and Services,0
36,Travel_Frequently,Research & Development,11,3,Life Sciences,Male,Manufacturing Director,2,Single,6499,1,No,13,3,5,0,Technology and Services,0
45,Travel_Rarely,Research & Development,7,3,Life Sciences,Male,Research Scientist,1,Divorced,9724,2,No,17,3,0,0,Technology and Services,0
35,Travel_Frequently,Research & Development,1,3,Medical,Male,Research Scientist,1,Married,2194,4,No,13,3,2,1,Technology and Services,0
36,Travel_Rarely,Research & Development,9,3,Medical,Male,Research Scientist,3,Married,3388,0,Yes,17,3,0,0,Technology and Services,0
59,Travel_Frequently,Sales,1,1,Life Sciences,Female,Sales Executive,3,Single,5473,7,No,11,3,3,1,Retail and Consumer,0
29,Travel_Rarely,Research & Development,2,3,Life Sciences,Male,Research Scientist,2,Married,2703,0,No,23,4,4,0,Technology and Services,0
31,Travel_Rarely,Research & Development,1,4,Medical,Male,Research Scientist,2,Single,2501,1,No,17,3,1,1,Technology and Services,0
32,Travel_Rarely,Research & Development,1,3,Life Sciences,Male,Research Scientist,2,Married,6220,1,No,17,3,4,0,Technology and Services,0
36,Travel_Rarely,Research & Development,6,3,Life Sciences,Female,Laboratory Technician,4,Married,3038,3,No,12,3,0,0,Technology and Services,0
31,Travel_Rarely,Research & Development,8,4,Life Sciences,Female,Manufacturing Director,4,Single,4424,1,No,23,4,7,1,Technology and Services,0
35,Travel_Rarely,Sales,1,4,Marketing,Male,Sales Executive,1,Single,4312,0,No,14,3,13,2,Retail and Consumer,0
45,Travel_Rarely,Research & Development,6,4,Other,Male,Research Director,1,Married,13245,4,Yes,14,3,0,0,Technology and Services,0
37,Travel_Rarely,Research & Development,7,4,Medical,Male,Research Director,3,Single,13664,4,No,13,3,2,0,Technology and Services,0
46,Travel_Rarely,Human Resources,5,2,Medical,Male,Human Resources,2,Divorced,5021,8,Yes,22,4,2,0,Professional Services,0
30,Travel_Rarely,Research & Development,1,1,Life Sciences,Male,Laboratory Technician,4,Married,5126,1,Yes,12,3,8,3,Technology and Services,0
35,Travel_Rarely,Research & Development,1,3,Medical,Male,Research Scientist,3,Single,2859,1,No,18,3,4,0,Technology and Services,0
55,Travel_Rarely,Sales,1,2,Life Sciences,Male,Sales Executive,4,Married,10239,3,No,14,3,0,1,Retail and Consumer,0
38,Non-Travel,Research & Development,6,3,Medical,Female,Research Scientist,4,Divorced,5329,7,Yes,12,3,11,1,Technology and Services,0
34,Travel_Rarely,Research & Development,1,2,Medical,Male,Manufacturing Director,2,Married,4325,1,No,15,3,2,1,Technology and Services,0
56,Travel_Rarely,Research & Development,7,3,Life Sciences,Male,Manufacturing Director,4,Single,7260,4,No,11,3,4,0,Technology and Services,0
23,Travel_Rarely,Sales,2,1,Technical Degree,Male,Sales Representative,1,Divorced,2322,3,No,13,3,0,0,Retail and Consumer,0
51,Travel_Rarely,Research & Development,9,4,Life Sciences,Male,Laboratory Technician,4,Married,2075,3,No,23,4,2,0,Technology and Services,0
30,Travel_Rarely,Research & Development,2,3,Life Sciences,Male,Healthcare Representative,4,Married,4152,1,No,19,3,10,10,Technology and Services,0
46,Travel_Rarely,Sales,9,2,Medical,Male,Sales Executive,4,Single,9619,1,No,16,3,8,4,Retail and Consumer,1
40,Travel_Frequently,Research & Development,1,4,Life Sciences,Male,Healthcare Representative,2,Married,13503,1,No,22,4,3,11,Technology and Services,0
51,Travel_Rarely,Sales,21,4,Marketing,Male,Sales Executive,4,Single,5441,0,Yes,22,4,7,1,Retail and Consumer,0
30,Travel_Rarely,Sales,4,2,Medical,Female,Sales Executive,2,Divorced,5209,1,Yes,12,3,8,2,Retail and Consumer,0
46,Travel_Frequently,Research & Development,1,3,Medical,Male,Healthcare Representative,1,Married,10673,2,Yes,13,3,9,9,Technology and Services,0
32,Travel_Rarely,Sales,6,4,Medical,Male,Sales Executive,3,Single,5010,1,No,16,3,8,5,Retail and Consumer,0
54,Travel_Rarely,Research & Development,2,4,Technical Degree,Female,Research Director,3,Married,13549,9,No,12,3,3,0,Technology and Services,0
24,Travel_Rarely,Sales,3,2,Other,Female,Sales Executive,3,Married,4999,0,No,21,4,2,0,Retail and Consumer,0
28,Non-Travel,Sales,4,3,Medical,Male,Sales Executive,3,Married,4221,1,No,15,3,4,0,Retail and Consumer,0
58,Travel_Rarely,Sales,10,4,Medical,Male,Sales Executive,3,Single,13872,0,No,13,3,10,1,Retail and Consumer,0
44,Non-Travel,Research & Development,23,3,Medical,Male,Laboratory Technician,2,Married,2042,4,No,12,3,2,1,Technology and Services,0
37,Travel_Rarely,Human Resources,6,4,Human Resources,Male,Human Resources,1,Divorced,2073,4,Yes,22,4,2,0,Professional Services,1
32,Travel_Rarely,Research & Development,1,1,Life Sciences,Male,Research Scientist,1,Single,2956,1,No,13,3,0,0,Technology and Services,0
20,Travel_Frequently,Research & Development,6,3,Life Sciences,Female,Laboratory Technician,4,Single,2926,1,Yes,18,3,0,1,Technology and Services,0
34,Travel_Rarely,Research & Development,6,4,Other,Female,Research Scientist,3,Single,4809,1,No,14,3,13,2,Technology and Services,0
37,Non-Travel,Research & Development,2,2,Life Sciences,Male,Healthcare Representative,4,Divorced,5163,5,No,14,3,0,0,Technology and Services,0
59,Non-Travel,Human Resources,2,4,Human Resources,Female,Manager,4,Married,18844,9,No,21,4,2,2,Professional Services,0
50,Travel_Frequently,Research & Development,1,3,Life Sciences,Female,Research Director,2,Married,18172,3,Yes,19,3,3,0,Technology and Services,0
25,Travel_Rarely,Sales,5,3,Marketing,Male,Sales Executive,3,Single,5744,1,Yes,11,3,4,0,Retail and Consumer,1
25,Travel_Rarely,Research & Development,7,1,Medical,Male,Research Scientist,4,Married,2889,1,No,11,3,2,2,Technology and Services,0
22,Travel_Rarely,Research & Development,15,3,Medical,Female,Laboratory Technician,4,Single,2871,1,No,15,3,0,0,Technology and Services,0
51,Travel_Frequently,Research & Development,1,4,Medical,Female,Healthcare Representative,1,Single,7484,3,No,20,4,12,12,Technology and Services,0
34,Travel_Frequently,Research & Development,7,3,Life Sciences,Male,Laboratory Technician,3,Single,6074,1,Yes,24,4,7,0,Technology and Services,0
54,Non-Travel,Human Resources,26,3,Human Resources,Female,Manager,4,Single,17328,2,Yes,12,3,3,4,Professional Services,0
24,Travel_Rarely,Research & Development,18,1,Life Sciences,Male,Laboratory Technician,3,Married,2774,0,No,12,3,3,1,Technology and Services,0
34,Travel_Rarely,Research & Development,6,4,Life Sciences,Female,Research Scientist,2,Divorced,4505,6,No,15,3,0,0,Technology and Services,0
37,Travel_Rarely,Sales,3,3,Life Sciences,Male,Sales Executive,4,Single,7428,2,No,12,3,3,1,Retail and Consumer,0
34,Travel_Rarely,Research & Development,5,3,Medical,Female,Manager,1,Single,11631,2,No,12,3,10,5,Technology and Services,0
36,Travel_Frequently,Sales,11,2,Technical Degree,Female,Sales Executive,4,Married,9738,0,No,14,3,7,2,Retail and Consumer,0
36,Travel_Rarely,Research & Development,3,2,Life Sciences,Female,Laboratory Technician,4,Divorced,2835,5,No,22,4,0,0,Technology and Services,0
43,Travel_Frequently,Sales,26,2,Life Sciences,Male,Manager,4,Married,16959,1,Yes,12,3,12,4,Retail and Consumer,0
30,Travel_Frequently,Research & Development,23,3,Life Sciences,Male,Research Scientist,3,Divorced,2613,1,No,25,4,7,0,Technology and Services,0
33,Non-Travel,Sales,22,2,Marketing,Male,Sales Executive,2,Married,6146,0,No,13,3,7,0,Retail and Consumer,0
56,Travel_Rarely,Research & Development,14,4,Life Sciences,Female,Research Scientist,2,Married,4963,9,Yes,18,3,4,4,Technology and Services,0
51,Travel_Rarely,Research & Development,6,3,Life Sciences,Male,Research Director,3,Single,19537,7,No,13,3,18,15,Technology and Services,0
31,Travel_Rarely,Sales,6,4,Life Sciences,Male,Sales Executive,3,Married,6172,4,Yes,18,3,7,7,Retail and Consumer,1
26,Travel_Rarely,Research & Development,6,3,Other,Female,Research Scientist,2,Married,2368,1,No,19,3,4,4,Technology and Services,0
58,Travel_Rarely,Research & Development,23,4,Medical,Female,Healthcare Representative,4,Married,10312,1,No,12,3,10,15,Technology and Services,0
19,Travel_Rarely,Sales,22,1,Marketing,Male,Sales Representative,3,Single,1675,1,Yes,19,3,0,0,Retail and Consumer,1
22,Travel_Rarely,Research & Development,2,1,Technical Degree,Male,Laboratory Technician,4,Married,2523,0,No,14,3,1,2,Technology and Services,0
49,Travel_Rarely,Research & Development,20,4,Medical,Female,Manufacturing Director,1,Married,6567,1,No,14,3,11,5,Technology and Services,0
43,Travel_Frequently,Research & Development,28,3,Medical,Female,Research Scientist,3,Single,4739,4,No,12,3,2,1,Technology and Services,0
50,Travel_Frequently,Sales,12,3,Marketing,Female,Sales Executive,4,Single,9208,4,No,11,3,2,2,Retail and Consumer,0
31,Travel_Rarely,Sales,20,3,Life Sciences,Female,Sales Executive,3,Married,4559,3,Yes,11,3,2,2,Retail and Consumer,1
41,Travel_Rarely,Sales,9,1,Life Sciences,Male,Sales Executive,3,Divorced,8189,3,Yes,13,3,7,0,Retail and Consumer,0
26,Travel_Rarely,Human Resources,25,1,Life Sciences,Female,Human Resources,3,Married,2942,1,No,23,4,7,5,Professional Services,0
36,Travel_Rarely,Research & Development,6,2,Medical,Male,Manufacturing Director,2,Divorced,4941,6,No,20,4,2,0,Technology and Services,0
51,Travel_Frequently,Research & Development,8,4,Life Sciences,Male,Manufacturing Director,4,Single,10650,2,No,15,3,2,0,Technology and Services,0
39,Travel_Rarely,Sales,4,4,Life Sciences,Female,Sales Executive,3,Married,5902,4,No,14,3,11,5,Retail and Consumer,0
25,Travel_Rarely,Sales,28,3,Life Sciences,Male,Sales Executive,3,Married,8639,2,No,18,3,2,2,Retail and Consumer,0
30,Travel_Rarely,Human Resources,9,3,Human Resources,Male,Human Resources,4,Married,6347,0,Yes,19,3,9,4,Professional Services,0
32,Travel_Rarely,Research & Development,9,3,Medical,Female,Laboratory Technician,1,Single,4200,7,No,22,4,4,0,Technology and Services,0
45,Travel_Rarely,Research & Development,29,3,Medical,Male,Research Scientist,4,Single,3452,5,No,13,3,5,0,Technology and Services,0
38,Travel_Rarely,Research & Development,3,5,Technical Degree,Female,Research Scientist,3,Single,4317,3,Yes,20,4,2,2,Technology and Services,0
30,Travel_Rarely,Research & Development,18,3,Life Sciences,Female,Research Scientist,3,Single,2632,1,No,14,3,4,0,Technology and Services,0
32,Travel_Frequently,Sales,9,2,Medical,Male,Sales Executive,4,Divorced,4668,0,No,17,3,7,0,Retail and Consumer,0
30,Travel_Rarely,Research & Development,5,3,Technical Degree,Female,Research Scientist,1,Divorced,3204,5,No,14,3,2,2,Technology and Services,0
30,Travel_Rarely,Research & Development,2,1,Medical,Male,Laboratory Technician,4,Single,2720,0,No,13,3,3,1,Technology and Services,0
41,Travel_Frequently,Research & Development,10,3,Life Sciences,Male,Manager,1,Divorced,17181,4,No,13,3,6,7,Technology and Services,0
41,Travel_Rarely,Research & Development,9,4,Life Sciences,Male,Laboratory Technician,1,Married,2238,2,No,21,4,0,1,Technology and Services,0
19,Travel_Rarely,Research & Development,3,1,Medical,Female,Laboratory Technician,2,Single,1483,1,No,14,3,0,0,Technology and Services,0
40,Travel_Frequently,Research & Development,26,3,Medical,Female,Research Scientist,2,Divorced,5605,1,No,11,3,7,2,Technology and Services,0
35,Travel_Rarely,Sales,1,5,Marketing,Male,Sales Executive,2,Married,7295,1,No,13,3,8,0,Retail and Consumer,0
53,Travel_Rarely,Sales,6,2,Marketing,Male,Sales Representative,3,Married,2306,2,Yes,20,4,7,4,Retail and Consumer,0
45,Travel_Rarely,Research & Development,9,3,Life Sciences,Male,Laboratory Technician,2,Divorced,2348,8,No,18,3,9,0,Technology and Services,0
32,Travel_Frequently,Sales,8,3,Marketing,Female,Sales Executive,4,Single,8998,1,No,14,3,8,3,Retail and Consumer,0
29,Non-Travel,Research & Development,1,1,Technical Degree,Male,Manufacturing Director,3,Married,4319,1,No,13,3,7,0,Technology and Services,0
51,Travel_Rarely,Research & Development,7,4,Medical,Male,Manufacturing Director,3,Married,6132,2,No,17,3,0,0,Technology and Services,0
58,Travel_Rarely,Research & Development,9,3,Medical,Female,Research Scientist,2,Married,3346,4,Yes,20,4,0,0,Technology and Services,0
40,Travel_Rarely,Sales,4,4,Marketing,Male,Sales Executive,4,Married,10855,7,No,11,3,11,2,Retail and Consumer,0
34,Travel_Frequently,Sales,2,4,Marketing,Female,Sales Representative,3,Married,2231,6,No,18,3,3,1,Retail and Consumer,0
22,Travel_Rarely,Research & Development,19,1,Medical,Male,Research Scientist,4,Married,2323,1,No,24,4,2,2,Technology and Services,0
27,Non-Travel,Research & Development,9,3,Medical,Male,Research Scientist,2,Divorced,2024,6,No,18,3,2,2,Technology and Services,0
28,Travel_Rarely,Research & Development,21,3,Medical,Male,Research Scientist,4,Married,2713,1,No,11,3,2,0,Technology and Services,0
57,Travel_Rarely,Research & Development,24,2,Life Sciences,Male,Healthcare Representative,4,Divorced,9439,3,Yes,16,3,3,1,Technology and Services,0
27,Non-Travel,Research & Development,3,3,Medical,Male,Research Scientist,3,Divorced,2566,1,Yes,15,3,1,0,Technology and Services,0
50,Travel_Rarely,Research & Development,11,3,Life Sciences,Female,Manager,2,Single,19626,3,No,15,3,4,4,Technology and Services,0
41,Travel_Rarely,Research & Development,14,3,Life Sciences,Male,Research Scientist,3,Divorced,2451,4,No,12,3,8,1,Technology and Services,0
30,Travel_Rarely,Sales,5,3,Life Sciences,Female,Sales Executive,4,Married,9419,2,No,12,3,9,7,Retail and Consumer,0
38,Travel_Rarely,Sales,1,4,Life Sciences,Female,Sales Executive,4,Single,8686,4,No,22,4,3,0,Retail and Consumer,0
32,Travel_Rarely,Research & Development,6,5,Life Sciences,Male,Research Scientist,3,Single,3038,3,No,20,4,4,1,Technology and Services,0
27,Travel_Rarely,Research & Development,17,3,Technical Degree,Male,Research Scientist,2,Married,3058,0,Yes,16,3,2,1,Technology and Services,0
19,Travel_Frequently,Sales,1,1,Technical Degree,Female,Sales Representative,1,Single,2325,0,No,21,4,0,0,Retail and Consumer,1
36,Travel_Frequently,Research & Development,3,2,Medical,Male,Laboratory Technician,2,Single,2088,4,No,12,3,7,7,Technology and Services,0
30,Non-Travel,Research & Development,9,3,Medical,Male,Laboratory Technician,1,Divorced,3072,1,No,11,3,9,6,Technology and Services,0
45,Travel_Rarely,Sales,4,2,Life Sciences,Female,Sales Executive,1,Divorced,5006,4,Yes,11,3,4,0,Retail and Consumer,0
56,Travel_Rarely,Research & Development,8,3,Life Sciences,Female,Research Scientist,1,Divorced,4257,4,Yes,18,3,2,2,Technology and Services,0
33,Travel_Rarely,Research & Development,2,3,Life Sciences,Male,Research Scientist,4,Single,2500,0,No,14,3,1,0,Technology and Services,0
19,Travel_Rarely,Research & Development,2,3,Life Sciences,Male,Laboratory Technician,4,Single,1359,1,No,22,4,0,1,Technology and Services,0
46,Travel_Rarely,Sales,1,2,Marketing,Female,Sales Executive,1,Divorced,10453,1,No,25,4,13,15,Retail and Consumer,0
38,Travel_Rarely,Research & Development,9,2,Life Sciences,Female,Laboratory Technician,4,Single,2288,1,No,12,3,2,2,Technology and Services,0
31,Travel_Rarely,Research & Development,12,1,Medical,Female,Research Scientist,4,Married,3929,8,Yes,23,4,2,0,Technology and Services,0
34,Travel_Rarely,Research & Development,27,2,Medical,Female,Research Scientist,2,Single,2311,2,No,15,3,2,1,Technology and Services,0
41,Travel_Rarely,Sales,20,2,Marketing,Female,Sales Representative,2,Single,3140,1,Yes,22,4,3,0,Retail and Consumer,1
50,Travel_Rarely,Research & Development,1,3,Medical,Male,Laboratory Technician,3,Married,3690,2,No,15,3,2,0,Technology and Services,0
53,Travel_Rarely,Research & Development,13,2,Medical,Female,Manufacturing Director,1,Divorced,4450,1,No,11,3,2,1,Technology and Services,0
33,Travel_Rarely,Research & Development,14,3,Medical,Female,Research Scientist,2,Married,2756,1,No,13,3,7,1,Technology and Services,0
40,Travel_Rarely,Research & Development,4,1,Medical,Female,Manager,3,Married,19033,1,No,14,3,8,9,Technology and Services,0
55,Travel_Rarely,Research & Development,14,4,Medical,Male,Research Director,2,Single,18722,8,No,11,3,15,2,Technology and Services,0
34,Travel_Frequently,Research & Development,2,1,Life Sciences,Male,Manufacturing Director,3,Married,9547,1,No,17,3,9,1,Technology and Services,0
51,Travel_Rarely,Research & Development,3,3,Medical,Female,Healthcare Representative,2,Single,13734,3,No,18,3,7,1,Technology and Services,0
52,Travel_Rarely,Research & Development,1,4,Life Sciences,Male,Manager,3,Married,19626,0,No,14,3,18,11,Technology and Services,0
27,Travel_Rarely,Research & Development,9,3,Medical,Female,Research Scientist,2,Single,2279,1,No,16,3,7,0,Technology and Services,0
35,Travel_Rarely,Research & Development,23,2,Life Sciences,Male,Manufacturing Director,3,Married,5916,3,Yes,13,3,0,0,Technology and Services,0
43,Non-Travel,Research & Development,7,3,Medical,Male,Research Scientist,4,Divorced,2089,4,No,14,3,4,2,Technology and Services,0
45,Non-Travel,Research & Development,2,2,Medical,Male,Manager,4,Married,16792,9,No,23,4,8,11,Technology and Services,0
37,Travel_Rarely,Research & Development,21,3,Life Sciences,Male,Research Scientist,1,Married,3564,1,Yes,12,3,7,1,Technology and Services,0
35,Travel_Frequently,Research & Development,2,3,Medical,Female,Laboratory Technician,2,Single,4425,5,No,11,3,2,1,Technology and Services,0
42,Non-Travel,Research & Development,21,2,Medical,Female,Manufacturing Director,3,Divorced,5265,2,No,16,3,3,0,Technology and Services,0
38,Travel_Rarely,Research & Development,2,4,Life Sciences,Male,Manufacturing Director,3,Married,6553,9,No,14,3,0,0,Technology and Services,0
38,Travel_Rarely,Research & Development,29,3,Technical Degree,Male,Manufacturing Director,4,Married,6261,3,No,18,3,7,1,Technology and Services,0
27,Travel_Frequently,Research & Development,1,1,Technical Degree,Male,Manufacturing Director,1,Married,4298,5,No,19,3,2,2,Technology and Services,0
49,Non-Travel,Research & Development,18,4,Life Sciences,Male,Manufacturing Director,4,Divorced,6804,1,Yes,15,3,7,1,Technology and Services,0
34,Travel_Frequently,Research & Development,10,4,Medical,Male,Research Scientist,3,Divorced,3815,1,Yes,17,3,3,2,Technology and Services,0
40,Travel_Rarely,Research & Development,19,2,Medical,Male,Laboratory Technician,4,Married,2741,8,Yes,15,3,2,3,Technology and Services,0
38,Travel_Rarely,Research & Development,29,1,Medical,Male,Healthcare Representative,1,Married,6673,7,Yes,19,3,0,0,Technology and Services,0
